4787,1983-04-28 09:54:56,26
3180,1970-02-18 22:04:28,32
774,1983-11-10 14:52:09,20
4186,1998-05-11 20:25:01,46
2309,1987-11-07 00:24:07,40
2019,2005-12-15 01:25:26,31
2980,2019-02-21 10:05:07,23
3786,1983-11-30 13:55:51,27
3294,1973-11-22 11:39:47,35
2438,2006-08-02 06:40:45,17
1817,1975-11-07 18:26:57,31
637,2002-07-20 17:03:15,33
920,1992-10-31 16:53:58,43
1983,2018-04-13 02:15:51,35
1095,1993-12-03 15:28:12,39
199,1991-04-08 08:42:32,12
4160,2018-11-16 23:36:19,23
2024,2005-01-31 00:31:36,19
2364,1998-03-23 23:23:56,47
3018,2007-10-02 18:12:46,43
4208,2002-04-26 10:47:28,7
1497,1990-04-16 14:22:24,15
1038,2015-03-23 06:49:31,33
4963,2011-11-15 11:11:17,38
862,1999-03-14 19:27:56,41
4877,1985-11-21 01:36:17,0
3681,2007-06-24 01:07:09,38
3647,2018-11-17 01:54:47,28
828,2008-02-10 00:29:07,39
21,2010-11-30 04:42:00,19
1400,1977-09-09 12:35:59,42
1897,2006-12-01 07:07:39,27
1456,1988-10-05 19:25:49,4
836,2006-11-02 22:21:26,19
3628,1998-04-14 08:13:40,16
579,1976-04-20 04:24:16,2
17,2008-05-20 11:39:59,22
4252,1979-02-23 13:46:30,19
985,2005-08-07 19:35:43,3
2457,2018-02-21 09:27:01,38
1848,2009-02-26 14:51:09,43
2610,2013-05-16 16:50:06,6
3608,2013-02-21 03:35:20,14
4432,2018-12-05 02:33:48,11
1097,1980-06-19 21:38:46,43
1568,1979-05-24 03:57:50,8
4206,1984-03-31 12:24:55,4
4200,2004-03-07 16:53:13,8
4003,1978-06-01 22:01:16,22
2610,2000-10-18 18:45:58,13
3649,2007-06-18 11:41:06,48
2293,2002-04-28 03:45:00,5
2959,2012-02-12 07:41:24,22
1862,1980-03-21 21:28:08,12
4928,2003-12-02 06:35:22,12
4241,1979-05-11 01:13:12,26
2229,1992-11-06 07:47:36,25
4194,1994-03-16 18:55:48,45
2871,1972-05-21 00:19:45,22
2228,1988-12-12 13:31:46,28
4189,1972-06-29 07:09:30,49
1022,1996-04-19 15:14:25,5
2018,1992-02-24 11:48:31,21
3335,2008-08-11 06:05:02,24
2524,1996-02-04 05:17:21,27
3578,2003-12-31 12:59:41,42
810,2007-04-02 21:41:11,45
2226,1988-03-02 00:39:33,46
3043,1976-07-15 05:22:08,7
2530,1977-09-02 21:52:56,25
530,1990-11-28 14:57:37,5
1000,1973-06-19 14:15:42,7
587,2000-06-18 15:18:58,49
445,2007-07-04 12:46:03,38
4920,1987-07-03 23:08:36,16
4657,1999-11-30 08:08:16,12
3610,1974-10-09 20:35:12,34
1410,1997-05-24 01:45:28,48
4774,2015-11-25 15:41:33,9
4217,1978-04-04 14:49:28,39
1064,2008-06-07 19:22:40,28
1382,1973-12-26 14:11:04,36
2458,2011-09-02 17:58:56,30
783,1997-10-05 07:53:28,2
3958,1999-01-02 01:02:12,40
819,2013-12-06 21:24:30,43
2200,1989-08-16 10:15:14,12
3689,2018-10-08 23:09:04,22
918,1997-07-06 01:41:13,0
4125,2011-01-11 16:48:54,48
1014,1977-07-28 11:44:37,30
2319,1982-05-23 07:51:51,13
3826,1973-02-12 22:59:11,40
4980,2016-05-05 00:16:53,33
2677,2002-01-27 13:46:20,16
115,1981-11-04 14:43:23,48
4814,1979-09-16 13:17:07,8
3340,1978-09-25 13:01:03,10
2295,1980-10-16 21:52:11,17
1058,1981-06-01 02:35:33,27
2714,1993-01-30 04:15:17,47
4631,1981-10-13 01:31:23,45
4208,2006-06-09 06:08:07,31
3120,2003-10-22 00:41:31,16
2623,2000-04-13 00:55:38,38
3305,1995-01-24 15:31:27,45
2330,2001-05-21 21:02:21,16
2958,2010-03-05 02:07:04,8
313,2009-02-08 06:56:56,48
960,1997-11-06 10:33:34,6
3422,2011-04-26 07:03:47,7
2141,1985-07-21 19:34:16,39
4414,1987-12-26 02:18:09,5
4200,1985-05-15 09:10:43,0
3161,1996-12-23 03:16:43,35
2068,2012-07-26 11:45:10,23
1008,1976-01-16 12:56:14,45
3951,2002-08-15 07:14:01,31
1199,1978-05-25 13:09:50,15
2537,1989-10-21 07:13:35,47
4412,2002-11-02 13:21:42,11
3104,2009-11-22 19:33:59,14
1593,1998-03-24 02:36:55,34
