0,47,5
0,36,6
0,30,3
1,24,6
1,49,2
1,14,7
1,38,5
1,37,7
1,35,5
1,34,2
1,27,2
2,4,3
2,33,7
2,56,3
2,39,4
2,40,3
3,54,7
3,7,6
3,45,6
3,52,2
3,22,2
4,29,6
4,0,2
4,57,3
4,9,4
4,21,4
4,45,3
4,41,5
4,47,5
4,32,3
4,26,4
5,12,5
5,29,4
5,28,6
5,23,2
5,54,4
5,43,7
5,31,6
5,13,6
5,2,6
6,30,2
6,35,4
6,14,6
6,40,6
6,24,3
6,44,7
7,33,6
7,7,2
7,18,5
7,12,2
7,56,7
7,44,4
7,43,5
7,22,3
8,49,7
8,6,5
8,37,4
8,34,3
8,7,6
9,47,3
9,5,3
9,37,5
9,1,3
9,52,3
9,36,3
9,28,5
9,50,3
9,10,5
9,21,2
10,3,2
10,26,6
10,41,5
10,2,2
11,5,4
11,37,5
11,24,5
11,38,2
11,44,5
11,6,5
11,34,7
11,27,4
12,37,6
12,19,6
12,28,6
12,9,6
12,11,5
12,47,5
12,31,2
13,7,6
13,51,5
13,17,7
14,56,6
14,35,5
14,38,5
14,47,2
14,48,4
14,15,7
14,1,3
15,33,4
15,29,4
15,34,2
15,26,5
15,45,3
16,21,5
16,37,7
16,53,2
16,54,2
16,40,5
17,13,2
17,44,5
17,54,4
17,9,3
17,21,3
17,56,2
17,57,3
18,19,3
18,22,3
18,43,6
18,51,6
19,50,4
19,21,2
19,32,4
19,41,7
19,0,6
20,3,6
20,25,4
20,47,4
20,45,3
20,23,6
20,10,5
21,36,3
21,41,7
21,31,7
21,49,7
21,35,4
21,57,5
21,34,4
22,23,7
22,14,7
22,50,2
22,32,4
22,53,5
23,41,2
23,31,2
23,9,5
23,22,6
23,3,3
23,44,3
23,25,6
23,27,5
23,6,4
23,16,7
24,47,6
24,24,7
24,34,6
24,11,5
24,19,2
25,23,3
25,11,2
25,9,4
25,4,6
25,6,3
25,24,5
25,30,4
25,57,6
25,34,3
26,25,3
26,44,2
26,34,7
26,6,3
26,51,3
26,41,7
27,30,6
27,27,2
27,29,3
27,49,5
27,37,3
27,33,6
27,10,6
27,11,3
28,50,5
28,37,6
28,52,5
28,7,3
28,53,7
28,39,4
28,33,3
28,54,3
28,19,7
28,21,4
29,0,7
29,15,3
29,47,3
29,5,6
30,0,7
30,56,3
30,13,7
30,35,6
30,25,3
30,37,4
30,10,7
30,50,6
30,2,7
31,52,5
31,14,7
31,16,2
31,54,3
31,31,6
31,56,3
31,47,2
31,5,7
32,24,2
32,56,2
32,14,3
32,31,6
32,50,6
32,40,3
33,4,7
33,15,4
33,10,6
33,30,7
33,27,4
33,12,3
33,28,3
33,23,6
34,46,7
34,42,6
34,26,3
34,12,4
34,14,7
34,2,6
34,57,2
34,49,5
35,28,3
35,31,5
35,8,3
35,17,7
35,49,3
35,48,4
35,37,2
36,54,6
36,32,2
36,8,6
36,13,6
36,0,6
36,52,6
37,51,7
37,14,3
37,15,5
37,32,3
37,0,4
37,25,2
37,19,2
38,36,5
38,22,2
38,20,3
38,12,7
38,55,3
38,8,5
38,11,4
38,43,6
38,53,6
38,23,5
39,55,2
39,34,6
39,13,4
39,25,4
39,49,6
40,15,3
40,7,6
40,48,7
40,50,2
40,34,2
41,35,4
41,16,5
41,7,2
41,13,2
41,53,5
42,51,6
42,43,2
42,53,4
43,50,3
43,30,5
43,23,7
43,7,5
43,20,2
43,27,7
43,47,2
43,45,5
44,44,4
44,3,5
44,6,4
44,9,3
44,20,7
44,19,2
44,5,2
44,35,3
45,18,6
45,5,4
45,8,5
45,2,4
45,43,2
45,25,7
45,47,4
45,21,6
46,8,5
46,22,6
46,57,6
46,31,5
46,52,7
47,5,2
47,22,4
47,3,7
48,39,3
48,35,5
48,55,4
49,34,5
49,54,2
49,38,6
49,31,7
49,28,5
49,42,4
49,7,3
