31,1,1971-05-06
40,1,1976-04-25
35,1,1983-01-23
57,2,2004-04-18
12,2,1998-08-14
29,2,1972-12-11
59,2,2008-10-15
34,3,2000-07-15
89,3,1972-11-11
66,3,1980-06-23
17,3,1971-06-03
92,4,1987-08-29
67,4,1980-09-27
94,4,1974-09-16
80,4,1983-02-20
99,6,1983-10-27
2,7,1993-09-14
75,7,1986-04-14
81,8,1995-02-28
7,8,1985-10-24
86,8,1998-01-19
32,8,2012-02-21
14,9,1987-12-01
3,10,1977-10-13
4,12,1996-11-04
44,12,1982-08-04
64,13,1980-02-09
86,13,1986-12-18
18,13,1985-02-10
10,14,1987-01-12
6,14,2016-02-19
24,14,1993-11-20
50,14,1988-12-21
73,17,2010-09-10
76,18,1987-03-08
75,18,2013-03-17
33,18,1996-12-25
56,19,2019-05-05
20,20,1986-07-16
28,20,1987-09-01
67,22,1984-11-30
3,22,2009-08-23
27,22,1983-10-10
44,24,1976-04-05
15,24,2011-09-28
85,24,1995-08-25
33,24,1988-09-25
17,25,1983-12-24
79,26,1999-12-27
69,27,2013-04-30
91,27,1979-05-26
2,28,1988-08-25
51,28,2016-05-12
6,28,2016-03-20
30,29,1983-12-28
4,29,1997-01-04
39,29,2006-10-25
35,29,1983-07-25
81,30,2012-09-20
42,30,2014-10-06
33,31,2016-10-09
38,31,2015-07-09
58,32,1970-02-21
14,32,2010-04-15
63,32,2010-05-15
53,33,1991-11-30
17,33,1995-06-06
68,36,1984-11-01
80,37,2008-04-08
78,37,1994-04-17
42,37,2017-05-15
12,37,2010-07-18
50,38,1995-04-18
65,39,1974-11-13
60,39,1977-01-11
53,39,1989-10-30
95,40,1973-11-16
42,40,1972-11-12
93,41,1983-12-17
8,41,2001-05-05
81,41,1978-12-27
97,41,1981-12-10
76,42,1983-11-21
67,44,2006-02-06
50,44,1971-11-13
22,44,1992-03-04
10,44,1978-03-29
21,50,2003-05-18
14,51,2005-11-25
30,51,1984-11-12
75,52,1976-07-20
36,52,1990-04-03
18,53,1970-10-20
57,53,2017-08-21
26,55,1970-08-17
36,56,2004-10-28
24,56,1986-04-11
40,56,2015-07-13
30,56,2003-05-09
71,57,1983-04-12
46,57,2011-10-08
37,57,1979-11-17
63,58,1979-06-21
19,58,1990-07-06
88,60,2016-10-01
50,60,1970-01-31
88,61,1986-02-22
16,62,1993-09-12
68,62,2017-12-22
95,62,1990-07-19
62,64,1972-02-19
48,64,2011-09-30
34,65,2000-05-01
88,66,1996-03-22
25,66,1973-09-06
68,66,1995-03-13
24,67,1992-12-21
58,68,1974-11-12
7,68,2012-03-03
14,70,1983-03-21
87,70,1993-11-21
1,71,2006-11-22
14,71,2010-02-24
66,71,2018-03-14
44,72,1977-11-26
84,72,1995-06-22
50,72,1970-08-23
92,72,1998-02-22
43,74,2008-03-28
47,74,2007-02-14
93,74,1988-04-28
66,76,2009-07-20
15,76,1980-01-06
21,76,2009-05-08
19,77,1983-07-24
67,77,2001-10-17
11,78,1975-10-24
25,78,1980-07-17
46,78,2014-09-25
24,79,1999-09-25
41,79,1972-05-04
73,80,1989-12-10
80,81,1986-09-12
92,82,1980-07-24
81,82,2009-08-06
89,82,1981-06-03
14,83,1986-12-02
40,83,1980-04-05
27,83,1977-12-26
48,83,2002-05-09
65,84,1972-07-30
23,84,2015-08-08
20,84,1975-03-22
73,84,1991-10-24
71,85,2005-01-16
9,85,1982-04-03
97,85,2016-11-07
46,87,1993-12-26
41,87,2018-01-21
83,88,1985-08-26
11,89,1977-08-25
22,89,2013-07-18
3,89,2002-06-23
96,90,1980-11-27
32,92,2000-05-04
83,92,2004-03-18
26,92,1972-07-27
86,92,1976-06-15
39,93,1989-03-02
75,93,1988-11-28
12,93,2016-12-27
11,93,1998-12-12
21,94,1987-03-08
66,94,1989-01-29
6,94,2010-04-29
45,94,1976-09-28
77,95,1979-09-26
78,95,2009-03-25
98,96,1998-09-28
87,96,1997-01-27
38,97,1986-03-30
55,97,1970-04-26
98,97,2014-09-04
27,98,2009-06-24
59,98,1991-11-15
62,98,1977-04-20
68,100,1993-05-14
61,101,1993-07-13
17,101,1979-12-15
12,101,1990-02-13
58,102,2012-03-06
23,102,1980-08-31
21,104,2002-01-17
42,104,2009-01-08
75,104,1999-02-10
24,105,2006-07-29
75,105,1997-02-03
13,106,1998-03-13
33,107,1990-07-25
74,107,1993-12-26
88,107,1981-12-22
4,107,2015-10-16
30,108,2012-05-06
99,108,1995-09-19
61,108,2011-01-28
36,109,2011-11-22
48,109,1979-09-01
27,109,1974-07-20
74,110,1976-10-11
96,110,2012-02-03
98,110,2008-04-08
7,111,2015-09-01
48,112,1995-01-31
26,112,1996-12-11
75,112,1979-05-20
88,112,2016-04-17
4,113,2007-06-03
22,114,1972-06-20
69,114,1975-04-05
83,115,1972-05-20
9,116,1983-06-29
5,116,2003-01-17
74,118,2007-05-23
1,118,2015-08-18
17,118,1981-10-07
71,118,2016-06-12
8,119,2004-06-08
61,119,2017-10-09
91,119,2007-10-07
57,120,1978-03-13
14,120,2016-07-13
26,121,1991-03-04
97,121,1990-06-09
24,122,1999-10-20
7,122,2015-08-28
48,122,1993-07-02
82,122,1992-06-25
50,123,2003-03-29
4,123,1976-12-18
80,123,1976-08-17
72,123,2009-06-10
79,125,2014-10-29
13,126,1985-10-08
84,126,1999-09-29
42,126,1978-12-08
6,127,2001-12-10
24,127,1974-05-05
60,127,2013-06-22
40,127,1984-08-12
73,128,1990-10-01
47,128,2002-01-08
35,128,2012-05-25
73,129,1998-05-16
24,130,1984-11-10
58,130,1985-11-09
79,130,2019-01-21
15,130,1980-07-28
14,131,1984-02-01
60,133,2012-09-03
13,133,1983-06-23
24,133,1993-01-03
95,133,1986-03-20
18,134,2003-03-02
88,134,1988-06-06
10,134,2003-01-04
58,134,1994-08-15
91,135,2007-08-11
60,135,2006-06-11
47,137,2007-02-13
59,137,2008-04-24
19,140,1975-11-08
46,140,1995-11-05
94,140,2012-06-21
80,140,1975-12-08
21,143,1993-06-26
29,143,1980-03-16
15,143,1996-08-02
26,147,2006-07-28
96,147,1971-03-12
13,148,1996-08-03
